field_api_name,file,line_no,content
PartnerCode__c,force-app/main/default/classes/PRT_BillPrintDataCreateControllerTest.cls,87,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,40,"            conditions +=  String.IsNotBlank(partnerCode) ? ' WHERE PartnerCode__c = \'' + partnerCode + '\'' : '';"
PartnerCode__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,42,"            conditions +=  String.IsNotBlank(partnerCode) ? ' AND PartnerCode__c = \'' + partnerCode + '\'' : '';"
PartnerCode__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,304,"        dataSectionList.add(setText(billSummary.PartnerCode__c));"
PartnerCode__c,force-app/main/default/classes/PRT_TransferBillDataCreateBatch.cls,397,"            dataSectionList.add(setText(billDetail.PartnerCode__c));"
PartnerCode__c,force-app/main/default/classes/ReleaseTheCancellationRequestBatchTest.cls,16,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/ReportIsuuePageControllerTest.cls,190,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/ReportIsuuePageControllerTest.cls,251,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/ResubmitRemindEmailCreatedBatchTest.cls,13,"        Partner__c Partner=new Partner__c(PartnerCode__c= '0000000123',"
PartnerCode__c,force-app/main/default/classes/ResubmitRemindEmailCreatedBatchTest.cls,22,"        Partner__c Partner1=new Partner__c(PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/SBPSCreditRegistrationCtrlTest.cls,34,"            PartnerCode__c = '0000000000',"
PartnerCode__c,force-app/main/default/classes/SBPSCreditRegistrationFinishCtrlTest.cls,34,"            PartnerCode__c = '0000000000',"
PartnerCode__c,force-app/main/default/classes/SBPSPaymentHandlerApiTest.cls,12,"            PartnerCode__c = '0000000000',"
PartnerCode__c,force-app/main/default/classes/ServiceLocationAverageUpdateBatchTest.cls,11,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/SettlementRequestCreateBatchTest.cls,17,"            PartnerCode__c = '0000000006',"
PartnerCode__c,force-app/main/default/classes/SettlementRequestCreateBatchTest.cls,265,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/SettlementRequestCreateBatchTest.cls,349,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/SFMasterCreateBatch.cls,258,"            //            mvPartnerCodes.add(ec.PowerCompanyCode__c + ec.PartnerCode__c + ec.Account_AdditionalInfo7__c);"
PartnerCode__c,force-app/main/default/classes/SFMasterCreateBatch.cls,262,"            //        mvPartnerCodes.add(ec.PowerCompanyCode__c + ec.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/SFMasterCreateBatch.cls,343,"                String unique = ec.ServiceCode__c + planMap.get(ec.PowerCompanyCode__c + ec.PartnerCode__c + (ec.Account_AdditionalInfo7__c != null ? ec.Account_AdditionalInfo7__c : '') + ec.PlanId__c) + ec.BILLINGSTARTDATE__C;"
